Word,Pronunciation,Definition
wandering,ˈwɑːndərɪŋ,歩き回る、放浪する,True
midst,mɪdst,真ん中、さなか,False
furious,ˈfjʊəriəs,怒り狂った,False
uneasy,ʌnˈiːzi,不安な,False
bearing,ˈbeərɪŋ,態度、ふるまい,False
tremendous,trɪˈmendəs,巨大な、途方もない,False
decent,ˈdiːsənt,きちんとした、礼儀正しい,False
glimpse,ɡlɪmps,ひと目,False
amazement,əˈmeɪzmənt,驚き,False
composed,kəmˈpəʊzd,落ち着いた,False
dreadful,ˈdredfəl,恐ろしい,False
weary,ˈwɪəri,疲れた、うんざりした,False
cracked,krækt,砕けた、ひびの入った,False
infinite,ˈɪnfənət,無限の,False
rigid,ˈrɪdʒɪd,厳格な,False
weird,wɪəd,奇妙な,False
thrust,θrʌst,ぐいぐいと押す,False
longing,ˈlɒŋɪŋ,あこがれ,False
amid,əˈmɪd,〜の真ん中に,False
couch,kaʊtʃ,カウチ、ソファー,False
profound,prəˈfaʊnd,深い,False
sheer,ʃɪə,本当の、ごく薄い,False
solemn,ˈsɒləm,荘厳な,False
unseen,ˌʌnˈsiːn,目に見えない,False
wreck,rek,難破,False
stirring,ˈstɜːrɪŋ,鼓舞する、活発な,False
fury,ˈfjʊəri,憤激,False
gratitude,ˈɡrætɪtjuːd,感謝,False
alas,əˈlæs,ああ！,False
blast,blɑːst,一吹き、突風,False
intimate,ˈɪntəmət,親密な,False
sideways,ˈsaɪdweɪz,横に,False
subtle,ˈsʌtl,微妙な、緻密な,False
oddly,ˈɒdli,奇妙に,False
acknowledge,əkˈnɒlɪdʒ,認める,False
earnestly,ˈɜːnɪstli,まじめに、熱心に,False
embrace,ɪmˈbreɪs,抱き締める,False
faintly,féɪntli,かすかに、弱々しく,False
obscure,əbˈskjʊə,無名の、あいまいな,False
solitary,ˈsɒlətəri,孤独の、孤立した,False
sunk,sʌŋk,救いようがない,False
torture,ˈtɔːtʃə,拷問,False
alarming,əˈlɑːmɪŋ,不安にさせる,False
skinny,ˈskɪni,痩せこけた,False
sober,ˈsəʊbə,しらふの、慎重な,False
anticipation,ænˌtɪsəˈpeɪʃən,予想,False
bid,bɪd,（競売で）値をつける,False
hence,hens,それゆえに,False
lest,lest,〜するといけないから,False
mortal,ˈmɔːtl,死の、致命的な,False
shrill,ʃrɪl,かん高い,False
feeble,ˈfiːbəl,弱った、微弱な,False
frantic,ˈfræntɪk,半狂乱の,False
fuss,fʌs,空騒ぎ,False
hush,hʌʃ,静かにさせる、なだめる,False
inevitably,ɪˈnevətəbli,必ず、当然,False
transparent,trænˈspærənt,透明な,False
tremble,ˈtrembəl,震える,False
engaging,ɪnˈɡeɪdʒɪŋ,魅力のある,False
revealing,rɪˈviːlɪŋ,啓発的な,False
considerably,kənˈsɪdərəbli,かなり,False
divine,dəˈvaɪn,神の,False
exquisite,ɪkˈskwɪzət,非常に美しい,False
fatigue,fəˈtiːɡ,疲労,False
identical,aɪˈdentɪkəl,同一の,False
intensity,ɪnˈtensəti,強烈,False
shudder,ˈʃʌdə,震える,False
swollen,ˈswəʊlən,膨らんだ,False
threshold,ˈθreʃhəʊld,敷居、閾値,False
parting,ˈpɑːtɪŋ,別れ,False
melancholy,ˈmelənkəli,憂うつ,False
dismay,dɪsˈmeɪ,ろうばい,False
dreary,ˈdrɪəri,もの寂しい、荒涼とした,False
gasp,ɡɑːsp,はっと息をのむこと,False
hostile,ˈhɒstaɪl,敵意のある,False
perspective,pəˈspektɪv,見方、考え方,False
privileged,ˈprɪvəlɪdʒd,特権のある,False
stout,staʊt,じょうぶな、太った,False
unbearable,ʌnˈbeərəbəl,耐えられない,False
utmost,ˈʌtməʊst,最大限の、極度の,False
vicious,ˈvɪʃəs,悪意のある,False
wretched,ˈretʃɪd,悲惨な、みじめな,False
reasoning,ˈriːzənɪŋ,推論,False
startling,ˈstɑːtlɪŋ,驚くべき,False
alongside,əˌlɒŋˈsaɪd,横に、並んで,False
curse,kɜːs,呪う,False
disgusted,dɪsˈɡʌstɪd,むかつく,False
elaborate,ɪˈlæbərət,手の込んだ、精巧な,False
filthy,ˈfɪlθi,汚い、下品な,False
foul,faʊl,悪臭のする、腐った,False
gloom,ɡluːm,暗がり、陰気,False
gracious,ˈɡreɪʃəs,やさしい、親切な、優雅な,False
inquiry,ɪnˈkwaɪəri,問い合わせ、調査,False
mock,mɒk,あざける、まねてばかにする,False
stillness,stɪ́lnəs,静けさ,False
timid,ˈtɪmɪd,臆病な、内気な,False
triumphant,traɪˈʌmfənt,勝利を得た,False
trivial,ˈtrɪviəl,ささいな、つまらない,False
ultimately,ˈʌltəmətli,最後に、結局,False
whereas,weərˈæz,〜であるのに,False
imposing,ɪmˈpəʊzɪŋ,印象的な,False
gigantic,dʒaɪˈɡæntɪk,巨大な,False
clumsy,ˈklʌmzi,ぎこちない、不器用な,False
crimson,ˈkrɪmzən,深紅色の,False
fright,fraɪt,恐怖,False
gravity,ˈɡrævəti,重大さ、真剣さ、重力,False
jerk,dʒɜːk,ぐいと引くこと、まぬけ,False
monstrous,ˈmɒnstrəs,恐るべき、怪物のような,False
objection,əbˈdʒekʃən,反対、異議、難点,False
outfit,ˈaʊtfɪt,服装一式、団体,False
perpetual,pəˈpetʃuəl,絶え間ない,False
savage,ˈsævɪdʒ,残忍な,False
scramble,ˈskræmbəl,よじ登る、緊急発進する,False
staircase,ˈsteəkeɪs,階段,False
stale,steɪl,古くさい、陳腐な,False
melting,ˈmeltɪŋ,和ませる、溶ける,False
swelling,ˈswelɪŋ,膨張、腫れ,False
arise,əˈraɪz,起こる、起きる,False
behold,bɪˈhəʊld,見る,False
desperation,ˌdespəˈreɪʃən,自暴自棄,False
disposition,ˌdɪspəˈzɪʃən,気質、傾向,False
dose,dəʊs,服用量の1回分,False
exclamation,ˌekskləˈmeɪʃən,絶叫、感嘆,False
fiery,ˈfaɪəri,火の、燃えるような,False
genuinely,ˈdʒenjuɪnli,純粋に,False
humility,hjuːˈmɪləti,謙遜,False
inclination,ˌɪŋkləˈneɪʃən,好み、意向,False
indifferent,ɪnˈdɪfərənt,無関心で、無関係で,False
ingenuity,ˌɪndʒəˈnjuːəti,工夫、巧妙さ,False
intact,ɪnˈtækt,無傷の,False
obstacle,ˈɒbstəkəl,障害,False
pathetic,pəˈθetɪk,哀れな、痛ましい,False
plump,plʌmp,ぽっちゃりした,False
prey,preɪ,獲物,False
pulse,pʌls,脈拍,False
shiver,ˈʃɪvə,震える,False
shriek,ʃriːk,金切り声を出す,False
stack,stæk,積み重ね,False
stray,streɪ,さまよう、はぐれる,False
sullen,ˈsʌlən,不機嫌な,False
superiority,suːˌpɪəriˈɒrəti,優越,False
tedious,ˈtiːdiəs,退屈な,False
thereby,ðeəˈbaɪ,それによって,False
verge,vɜːdʒ,端,False
cling,klɪŋ,しがみつく、くっつく,False
lining,ˈlaɪnɪŋ,裏地,False
discomfort,dɪsˈkʌmfət,不快、嫌なこと,False
affectionate,əˈfekʃənət,優しい、愛情のこもった,False
array,əˈreɪ,配列する,False
coincidence,kəʊˈɪnsɪdəns,同時発生、偶然の一致,False
compliment,ˈkɒmpləmənt,賛辞、あいさつ,False
comprehend,ˌkɒmprɪˈhend,理解する,False
damned,dæmd,いまいましい,False
dusk,dʌsk,夕暮れ時、薄暗がり,False
exhaustion,ɪɡˈzɔːstʃən,消耗、疲労,False
expanse,ɪkˈspæns,広がり,False
fraction,ˈfrækʃən,破片,False
frail,freɪl,弱った、もろい,False
limp,lɪmp,足を引きずる,False
nick,nɪk,切り込み、刑務所,False
pitiful,ˈpɪtɪfəl,哀れな,False
ragged,ˈræɡɪd,ぼろぼろの、でこぼこした,False
revelation,ˌrevəˈleɪʃən,暴露、新事実,False
scarlet,ˈskɑːlɪt,緋色,False
spit,spɪt,吐く,False
streak,striːk,筋、しま,False
suppress,səˈpres,抑圧する,False
tenderness,ˈtendərnəs,優しさ,False
piercing,ˈpɪəsɪŋ,身にしみる、鋭い,False
equivalent,ɪˈkwɪvələnt,同等の、相当する,False
alley,ˈæli,路地、裏通り,False
attic,ˈætɪk,屋根裏,False
cellar,ˈselə,地下室,False
cloak,kləʊk,マント、おおい隠すもの,False
cluster,ˈklʌstə,群れ、集団,False
converse,kənˈvɜːs,会話をする,False
courtesy,ˈkɜːtəsi,礼儀、優遇,False
decidedly,dɪˈsaɪdɪdli,確かに、断固として,False
den,den,巣、穴,False
dismal,ˈdɪzməl,陰気な、憂うつな,False
eliminate,ɪˈlɪməneɪt,除く,False
exclusive,ɪkˈskluːsɪv,排他的な,False
feverish,ˈfiːvərɪʃ,熱っぽい,False
flush,flʌʃ,顔を赤くする,False
glare,ɡleə,ぎらぎらする光,False
humiliation,hjuːˌmɪliˈeɪʃən,屈辱、恥,False
incessant,ɪnˈsesənt,絶え間ない,False
insight,ˈɪnsaɪt,洞察,False
lad,læd,若者、元気のいい男,False
narrowly,ˈnærəʊli,かろうじて、狭く,False
presume,prɪˈzjuːm,仮定する,False
queer,kwɪə,風変わりな、怪しい,False
radiant,ˈreɪdiənt,光を放つ、輝く,False
reassure,ˌriːəˈʃʊə,安心させる、再保証する,False
reckless,ˈrekləs,無謀な,False
reproach,rɪˈprəʊtʃ,しかる、責める,False
sip,sɪp,少しずつ飲む,False
sly,slaɪ,ずるい、いたずらな,False
sneak,sniːk,こそこそと入る,False
subsequent,ˈsʌbsəkwənt,続いて起こる,False
vanity,ˈvænəti,虚栄心、うぬぼれ,False
vigorous,ˈvɪɡərəs,精力的な、活気のある,False
dwelling,ˈdwelɪŋ,居所,False
proceeding,prəˈsiːdɪŋ,法的手続き、出来事,False
admirable,ˈædmərəbəl,称賛に値する,False
ample,ˈæmpəl,たっぷりある、広い,False
anguish,ˈæŋɡwɪʃ,激しい苦痛,False
bizarre,bəˈzɑː,異様な,False
blunt,blʌnt,鈍い、率直な,False
catastrophe,kəˈtæstrəfi,大惨事、大災害,False
coarse,kɔːs,粗い、粗野な,False
compassion,kəmˈpæʃən,同情,False
deliberate,dɪˈlɪbərət,故意の、慎重な,False
disposal,dɪˈspəʊzəl,処分,False
distract,dɪˈstrækt,気を散らす,False
flutter,ˈflʌtə,ひらひら飛ぶ,False
formidable,ˈfɔːmədəbəl,恐るべき,False
formula,ˈfɔːmjələ,公式、決まり文句,False
fraud,frɔːd,詐欺,False
futile,ˈfjuːtaɪl,役に立たない,False
guardian,ˈɡɑːdiən,保護者、後見人,False
hail,heɪl,あられ、ひょう,False
keenly,kíːnli,鋭く、激しく,False
orderly,ˈɔːdəli,整頓された、秩序ある,False
proposition,ˌprɒpəˈzɪʃən,提案、陳述、主張,False
remainder,rɪˈmeɪndə,残り、余り,False
shrewd,ʃruːd,鋭敏な、洞察力のある,False
slam,slæm,バタンと閉める,False
thou,θaʊ,なんじ、そなた（古語）,False
uneven,ʌnˈiːvən,平らでない、不ぞろいな,False
witty,ˈwɪti,機知に富んだ,False
undertaking,ˌʌndəˈteɪkɪŋ,仕事を引き受けること、約束,False
diverse,daɪˈvɜːs,種々の,False
superficial,ˌsuːpəˈfɪʃəl,表面上の,False
abrupt,əˈbrʌpt,突然の,False
agitation,ˌædʒɪˈteɪʃən,扇動、動揺,False
ascertain,ˌæsəˈteɪn,確かめる,False
attorney,əˈtɜːni,代理人、弁護士,False
cardboard,ˈkɑːdbɔːd,ボール紙,False
colonel,ˈkɜːnl,大佐,False
competent,ˈkɒmpɪtənt,有能な、能力のある,False
confinement,kənˈfaɪnmənt,制限、監禁,False
console,kənˈsəʊl,慰める,False
corpse,kɔːps,死体,False
disagreeable,ˌdɪsəˈɡriːəbəl,不愉快な,False
discourse,ˈdɪskɔːs,講演、論文,False
doctrine,ˈdɒktrɪn,教義、主義,False
fascination,ˌfæsəˈneɪʃən,魅惑、魅力,False
fragile,ˈfrædʒaɪl,もろい、はかない,False
giggle,ˈɡɪɡəl,くすくす笑う,False
harness,ˈhɑːnəs,馬具,False
haze,heɪz,もや、かすみ,False
hitherto,ˌhɪðəˈtuː,今まで,False
immortal,ɪˈmɔːtl,不死の、不滅の,False
indignant,ɪnˈdɪɡnənt,怒った、憤慨した,False
intellect,ˈɪntəlekt,知性,False
jolly,ˈdʒɒli,楽しい、陽気な,False
malice,ˈmælɪs,悪意、敵意,False
mischievous,ˈmɪstʃəvəs,いたずら好きな、お茶目な,False
naughty,ˈnɔːti,行儀の悪い,False
pane,peɪn,窓ガラス,False
persuasion,pəˈsweɪʒən,説得、信念,False
readiness,ˈredinəs,用意ができていること,False
relevant,ˈreləvənt,適切な、関連のある,False
sarcastic,sɑːˈkæstɪk,皮肉な,False
secrecy,ˈsiːkrəsi,秘密、内密,False
serene,səˈriːn,静かな、穏やかな、晴れた,False
shabby,ˈʃæbi,みすぼらしい,False
skeptical,ˈskeptɪkəl,懐疑的な,False
specimen,ˈspesɪmɪn,見本、標本,False
speck,spek,少量、小さい点,False
stoop,stuːp,かがむ,False
sunken,ˈsʌŋkən,沈没した、くぼんだ,False
testimony,ˈtestəməni,証言,False
transaction,trænˈzækʃən,取引、売買,False
transformation,ˌtrænsfəˈmeɪʃən,変化、変容、変換,False
vulnerable,ˈvʌlnərəbəl,弱い、攻撃されやすい,False
depressing,dɪˈpresɪŋ,憂うつな,False
mourning,ˈmɔːnɪŋ,哀悼,False
offspring,ˈɒfˌsprɪŋ,子孫,False
owing,ˈəʊɪŋ,借りとなっている、未払いの,False
bewilderment,bɪˈwɪldəmənt,困惑、当惑、うろたえ,False
bliss,blɪs,至福,False
brisk,brɪsk,活発な、元気の良い,False
brute,bruːt,けだもの、人でなし,False
cordial,ˈkɔːdiəl,心からの、誠心誠意の,False
countenance,ˈkaʊntənəns,顔つき、表情,False
disastrous,dɪˈzɑːstrəs,災害の、悲惨な,False
discretion,dɪˈskreʃən,思慮分別、慎重,False
expertise,ˌekspɜːˈtiːz,専門的技術、専門知識,False
fleet,fliːt,艦隊,False
foster,ˈfɒstə,育てる,False
freak,friːk,変わった人、マニア,False
annoyance,əˈnɔɪəns,いらだち,False
gravel,ˈɡrævəl,砂利,False
gulp,ɡʌlp,ごくごく飲む,False
haunt,hɔːnt,悩ます,False
heed,hiːd,気をつける,False
indulge,ɪnˈdʌldʒ,甘やかす,False
intricate,ˈɪntrɪkət,複雑な,False
liable,ˈlaɪəbəl,責任があって、～しがちな,False
maiden,ˈmeɪdn,未婚の、初めての,False
modesty,ˈmɒdəsti,謙虚、慎み深さ,False
multitude,ˈmʌltɪtjuːd,多数、大衆,False
nonetheless,ˌnʌnðəˈles,それにもかかわらず,False
novelty,ˈnɒvəlti,珍しさ、新規性,False
preliminary,prɪˈlɪmənəri,予備的な、準備の,False
quaint,kweɪnt,古風な趣のある、風変わりな,False
rash,ræʃ,早まった、軽率な,False
respective,rɪˈspektɪv,それぞれの,False
rustle,ˈrʌsəl,さらさら音を立てる,False
sorrowful,ˈsɒrəʊfəl,悲嘆に暮れた,False
strand,strænd,立ち往生させる,False
surge,sɜːdʒ,わき立つ、急上昇する,False
swarm,swɔːm,群れ、大群,False
sway,sweɪ,ゆさぶる、影響を与える,False
thrive,θraɪv,繁栄する,False
trifle,ˈtraɪfəl,つまらないもの、少量,False
vulgar,ˈvʌlɡə,俗悪な、野卑な、下品な,False
ye,jiː,なんじら（古語）,False
crushing,ˈkrʌʃɪŋ,圧倒的な、壊滅的な,False
notwithstanding,ˌnɒtwɪθˈstændɪŋ,〜にもかかわらず,False
fabulous,ˈfæbjələs,素晴らしい,False
isolation,ˌaɪsəˈleɪʃən,孤独、隔離,False
accommodate,əˈkɒmədeɪt,収容する、乗せる、宿泊させる,False
attentive,əˈtentɪv,用心深い、思いやりのある,False
bait,beɪt,えさ,False
blur,blɜː,かすんで見えるもの、不明瞭なもの,False
charitable,ˈtʃærətəbəl,慈悲深い,False
choke,tʃəʊk,窒息させる、息を詰まらせる,False
chuckle,ˈtʃʌkəl,くすくす笑い,False
clarity,ˈklærəti,明快、透明さ,False
coffin,ˈkɒfɪn,棺,False
complacent,kəmˈpleɪsənt,自己満足の,False
conspiracy,kənˈspɪrəsi,陰謀,False
crest,krest,とさか、頂上,False
crude,kruːd,粗野な、天然のままの,False
decisive,dɪˈsaɪsɪv,決定的な、重大な,False
descent,dɪˈsent,降下、家系,False
discreet,dɪˈskriːt,思慮深い、慎重な,False
disturbance,dɪˈstɜːbəns,騒ぎ、妨害,False
divert,daɪˈvɜːt,回り道させる、そらす,False
doom,duːm,運命、破滅、死,False
dubious,ˈdjuːbiəs,疑わしく思う、怪しい,False
flaw,flɔː,きず、割れ目、欠点,False
fluid,ˈfluːɪd,液体の、流動性の,False
folly,ˈfɒli,愚かさ、愚行,False
fragment,ˈfræɡmənt,破片、断片,False
gauge,ɡeɪdʒ,計器、標準寸法,False
generate,ˈdʒenəreɪt,引き起こす、生じる,False
horrid,ˈhɒrɪd,恐ろしい,False
instinctive,ɪnˈstɪŋktɪv,直観的な,False
integrity,ɪnˈteɡrəti,高潔、誠実,False
likelihood,ˈlaɪklihʊd,ありそうなこと、可能性,False
lofty,ˈlɒfti,高尚な、高慢な、非常に高い,False
luminous,ˈluːmɪnəs,光を発する、輝く,False
mortgage,ˈmɔːɡɪdʒ,住宅ローン、抵当,False
notable,ˈnəʊtəbəl,注目に値する、有名な,False
notorious,nəʊˈtɔːriəs,悪名高い,False
peep,piːp,のぞき見する,False
penetrate,ˈpenətreɪt,貫く、浸透する,False
quiver,ˈkwɪvə,揺れる、震える,False
rebellion,rɪˈbeljən,反乱、暴動,False
reconcile,ˈrekənsaɪl,調和させる、仲直りさせる,False
resolute,ˈrezəluːt,断固とした,False
scorn,skɔːn,軽蔑,False
scrutiny,ˈskruːtɪni,精密な調査,False
shrug,ʃrʌɡ,肩をすくめる,False
sinister,ˈsɪnɪstə,悪意のある、不気味な,False
slab,slæb,厚板、石板、厚切り,False
soothe,suːð,なだめる,False
spine,spaɪn,脊柱、脊椎,False
stroll,strəʊl,ぶらつく,False
chilly,ˈtʃɪli,肌寒い,False
thump,θʌmp,ドンと打つ,False
torment,ˈtɔːment,激痛、苦悩,False
tranquil,ˈtræŋkwəl,穏やかな、平穏な,False
troublesome,ˈtrʌbəlsəm,やっかいな,False
utility,juːˈtɪləti,有用、有益,False
wail,weɪl,声をあげて泣く,False
woe,wəʊ,悲哀、悩み,False
compelling,kəmˈpelɪŋ,強制的な、説得力のある,False
advocate,ˈædvəkeɪt,提唱者,False
amiable,ˈeɪmiəbəl,感じの良い,False
anonymous,əˈnɒnɪməs,匿名の,False
apprehension,ˌæprɪˈhenʃən,心配、懸念、理解,False
bachelor,ˈbætʃələ,独身男性、学士,False
barren,ˈbærən,不毛の、不妊の,False
beak,biːk,くちばし、かぎ鼻,False
bosom,ˈbʊzəm,（女性の）胸,False
cannon,ˈkænən,大砲,False
chant,tʃɑːnt,歌、詠唱,False
compensate,ˈkɒmpənseɪt,償う、補う、補償する,False
comply,kəmˈplaɪ,従う、応じる,False
con,kɒn,〜に反対して,False
courtyard,ˈkɔːtjɑːd,中庭,False
dew,djuː,しずく,False
dictate,dɪkˈteɪt,書き取らせる、指示する,False
ditch,dɪtʃ,溝、排水溝,False
extravagant,ɪkˈstrævəɡənt,ぜいたくな,False
faculty,ˈfækəlti,能力、大学の学部、大学の教員陣,False
foresee,fɔːˈsiː,予想する,False
fortnight,ˈfɔːtnaɪt,2週間,False
indispensable,ˌɪndɪˈspensəbəl,絶対必要な、避けられない,False
induce,ɪnˈdjuːs,～するよう勧誘する,False
involuntary,ɪnˈvɒləntəri,無意識な、嫌々ながらの,False
jury,ˈdʒʊəri,陪審,False
linger,ˈlɪŋɡə,居残る,False
manifest,ˈmænəfest,明白な,False
manuscript,ˈmænjəskrɪpt,原稿,False
oath,əʊθ,誓い,False
obstinate,ˈɒbstənət,がんこな,False
peril,ˈperəl,危険,False
petty,ˈpeti,心が狭い、ささいな,False
pillar,ˈpɪlə,柱,False
plaster,ˈplɑːstə,しっくい,False
prone,prəʊn,～する傾向がある,False
puddle,ˈpʌdl,水たまり,False
purposely,ˈpɜːpəsli,わざと,False
reckon,ˈrekən,推定する、みなす、考える,False
refrain,rɪˈfreɪn,控える,False
reluctance,rɪˈlʌktəns,気が進まないこと,False
reverence,ˈrevərəns,尊敬,False
rim,rɪm,縁、へり,False
rip,rɪp,切り裂く,False
salute,səˈluːt,敬礼する、あいさつする,False
salvation,sælˈveɪʃən,救助,False
irritate,ˈɪrəˌteɪt,いらいらさせる,False
sniff,snɪf,くんくんとかぐ、鼻をすする,False
spontaneous,spɒnˈteɪniəs,自発的な,False
submission,səbˈmɪʃən,服従,False
subordinate,səˈbɔːdənət,下の、従属する,False
testament,ˈtestəmənt,証明するもの、遺言,False
trot,trɒt,早足,False
vertical,ˈvɜːtɪkəl,垂直の,False
void,vɔɪd,欠けた、無効の,False
absorbing,əbˈsɔːbɪŋ,夢中にさせる,False
underlying,ˌʌndəˈlaɪ-ɪŋ,下部の、根本的な,False
adequate,ˈædɪkwət,適正な、十分な,False
advisable,ədˈvaɪzəbəl,賢明な,False
altar,ˈɔːltə,祭壇、供物台,False
apiece,əˈpiːs,各個に、各自に、めいめいに,False
arbitrary,ˈɑːbətrəri,恣意的な,False
assertion,əˈsɜːʃən,断言、主張,False
bleak,bliːk,希望のない、荒涼とした,False
blot,blɒt,よごれ、しみ,False
brink,brɪŋk,瀬戸際、縁,False
bully,ˈbʊli,いじめっ子,False
creek,kriːk,小川、入り江,False
cue,kjuː,きっかけ、合図,False
curb,kɜːb,縁石、抑制,False
dean,diːn,大学の学部長、首席司祭、長老,False
deputy,ˈdepjəti,代理人、副官,False
desolate,ˈdesələt,荒れ果てた,False
disciplined,ˈdɪsɪplɪnd,鍛練された、自制心のある,False
displeasure,dɪsˈpleʒə,不愉快、不機嫌,False
dodge,dɒdʒ,素早く身をかわす,False
execute,ˈeksəkjuːt,実行する、処刑する,False
extinct,ɪkˈstɪŋkt,絶滅した,False
extract,ɪkˈstrækt,取り出す、抽出する,False
facilitate,fəˈsɪlɪteɪt,容易にする、促進する,False
flip,flɪp,ひっくり返す、はじく,False
haven,ˈheɪvən,避難所、安全な場所、港,False
imprisonment,ɪmˈprɪzənmənt,投獄、禁固、監禁,False
improbable,ɪmˈprɒbəbəl,起こりそうもない,False
invaluable,ɪnˈvæljuəbəl,非常に貴重な,False
lieutenant,lefˈtenənt,大尉、副官、警部補、中尉,False
lucrative,ˈluːkrətɪv,もうかる,False
lunatic,ˈluːnətɪk,精神異常者、変人,False
maze,meɪz,迷路、当惑,False
meek,miːk,おとなしい、意気地のない,False
oblivion,əˈblɪviən,忘れられていること、忘却,False
pang,pæŋ,心の苦しみ、激痛,False
perch,pɜːtʃ,（鳥の）止まり木,False
pledge,pledʒ,誓約、約束、抵当,False
rapture,ˈræptʃə,狂喜、歓喜,False
render,ˈrendə,～にする、与える,False
repent,rɪˈpent,後悔する,False
ripple,ˈrɪpəl,さざ波,False
robust,rəˈbʌst,頑丈な,False
rumble,ˈrʌmbəl,ガラガラ鳴る、グーグー鳴る,False
sane,seɪn,正気の,False
scrape,skreɪp,こすり落とす,False
shove,ʃʌv,ぐいっと押す,False
slack,slæk,ゆるい、不景気な,False
thereafter,ðerˈæftə,その後,False
stationary,ˈsteɪʃənəri,静止した,False
stump,stʌmp,切り株,False
supposedly,səˈpəʊzɪdli,言われているところでは,False
tactics,ˈtæktɪks,戦術、方策,False
tolerance,ˈtɒlərəns,寛容、我慢,False
turmoil,ˈtɜːmɔɪl,騒ぎ,False
undermine,ˌʌndəˈmaɪn,揺るがす、下を掘る,False
undo,ʌnˈduː,脱ぐ、元に戻す,False
villain,ˈvɪlən,悪役、悪党,False
warrant,ˈwɒrənt,証明書、令状,False
zeal,ziːl,熱意、熱心,False
yielding,ˈjiːldɪŋ,人に従う、しなやかな,False
absurdity,əbˈsɜːdəti,ばかばかしいもの,False
