Word,Pronunciation,Definition
adjacent,əˈdʒeɪsənt,隣接した,False
attribute,əˈtrɪbjuːt,～に帰する、～のせいにする,False
bestow,bɪˈstəʊ,授ける,False
breach,briːtʃ,違反、裏切り,False
butler,ˈbʌtlə,執事,False
captive,ˈkæptɪv,とらわれの,False
charcoal,ˈtʃɑːkəʊl,木炭,False
cheery,ˈtʃɪəri,明るい、陽気な,False
clatter,ˈklætə,カタカタいう音、騒々しい声,False
commonplace,ˈkɒmənpleɪs,ありふれたこと、平凡なこと,False
compartment,kəmˈpɑːtmənt,仕切られた空間,False
comrade,ˈkɒmrəd,仲間、同志,False
contemplate,ˈkɒntəmpleɪt,熟考する,False
cultivation,ˌkʌltəˈveɪʃən,耕作、栽培,False
devise,dɪˈvaɪz,考案する,False
devoid,dɪˈvɔɪd,欠いている,False
dimension,daɪˈmenʃən,要素、次元、寸法,False
din,dɪn,騒音,False
disdain,dɪsˈdeɪn,軽蔑する,False
disregard,ˌdɪsrɪˈɡɑːd,無視する,False
distinctive,dɪˈstɪŋktɪv,独特の,False
domain,dəˈmeɪn,領地、分野,False
dump,dʌmp,どさっと置く、捨てる,False
eminent,ˈemɪnənt,著名な,False
exaggeration,ɪɡˌzædʒəˈreɪʃən,誇張,False
explicit,ɪkˈsplɪsɪt,明白な,False
festive,ˈfestɪv,お祝いの,False
grove,ɡrəʊv,木立,False
hare,heə,ノウサギ,False
hazy,ˈheɪzi,かすんだ,False
hereafter,ˌhɪərˈɑːftə,これから先,False
immune,ɪˈmjuːn,免疫の,False
inconsistent,ˌɪnkənˈsɪstənt,矛盾する,False
inscription,ɪnˈskrɪpʃən,銘刻,False
intercourse,ˈɪntəkɔːs,性交、交際,False
jest,dʒest,しゃれ,False
jug,dʒʌɡ,水差し,False
landlord,ˈlændlɔːd,大家,False
lavish,ˈlævɪʃ,気前のよい、豪華な,False
ledge,ledʒ,棚,False
legitimate,ləˈdʒɪtəmət,筋の通った、合法の,False
litter,ˈlɪtə,がらくた,False
nobility,nəʊˈbɪləti,貴族階級、高潔さ,False
obsolete,ˈɒbsəliːt,時代遅れの,False
occurrence,əˈkʌrəns,発生、事件,False
pious,ˈpaɪəs,敬虔な,False
poke,pəʊk,つっつく,False
precaution,prɪˈkɔːʃən,予防対策,False
rap,ræp,コツコツとたたく音、ラップ,False
relish,ˈrelɪʃ,楽しむ、味わう,False
retrospect,ˈretrəspekt,回想,False
riddle,ˈrɪdl,なぞなぞ,False
sermon,ˈsɜːmən,説教,False
smack,smæk,ぶつかる、平手で叩く,False
stab,stæb,刺す,False
stifle,ˈstaɪfəl,窒息させる、やめさせる,False
stink,stɪŋk,悪臭を放つ,False
tangible,ˈtændʒəbəl,触れられる、有形の、明白な,False
tribute,ˈtrɪbjuːt,賛辞、贈り物,False
verdict,ˈvɜːdɪkt,評決,False
fling,flɪŋ,投げつける,False
prevailing,prɪˈveɪlɪŋ,広まっている,False
adore,əˈdɔː,熱愛する、崇拝する,False
aesthetic,iːsˈθetɪk,美の,False
akin,əˈkɪn,血族の、類似の,False
ally,ˈælaɪ,同盟国、盟友,False
apprentice,əˈprentɪs,徒弟、年季奉公人,False
arc,ɑːk,弧,False
ascent,əˈsent,上昇,False
aspire,əˈspaɪə,熱望する,False
bruise,bruːz,打ち身,False
bulletin,ˈbʊlətɪn,公報、告示,False
calamity,kəˈlæməti,惨事,False
celestial,səˈlestiəl,宇宙の、天国の,False
chronic,ˈkrɒnɪk,慢性の,False
conjecture,kənˈdʒektʃə,推量,False
considerate,kənˈsɪdərət,思いやりのある,False
conspicuous,kənˈspɪkjuəs,はっきり見える,False
contradict,ˌkɒntrəˈdɪkt,矛盾する、否定する,False
conversion,kənˈvɜːʃən,転換、改造,False
coordinate,kəʊˈɔːdəneɪt,対等の、同等の,False
crust,krʌst,パンの皮、堅い表面,False
customary,ˈkʌstəməri,習慣的な、慣習となっている,False
dagger,ˈdæɡə,短剣,False
deceit,dɪˈsiːt,詐欺,False
decree,dɪˈkriː,法令,False
dime,daɪm,10セント硬貨,False
eloquent,ˈeləkwənt,雄弁な,False
evolve,ɪˈvɒlv,発達する、進化する,False
excel,ɪkˈsel,勝る、優れる,False
exceptionally,ɪkˈsepʃənəli,例外的に、非常に,False
explosive,ɪkˈspləʊsɪv,爆発しやすい、急に怒り出す,False
fringe,frɪndʒ,房飾り、周辺部,False
fulfillment,fʊlˈfɪlmənt,遂行、実現,False
gaily,ˈɡeɪli,陽気に、愉快に,False
gale,ɡeɪl,強風,False
gutter,ˈɡʌtə,排水溝、側溝,False
hearth,hɑːθ,暖炉の床、家庭,False
hemisphere,ˈheməsfɪə,半球,False
hitch,hɪtʃ,ぐいと動かす、ヒッチハイクする,False
holly,ˈhɒli,ヒイラギ,False
incidentally,ˌɪnsəˈdentəli,ちなみに、ついでに,False
inherent,ɪnˈhɪərənt,固有の、本来の,False
instantaneous,ˌɪnstənˈteɪniəs,即時の、即座の,False
intersection,ˌɪntəˈsekʃən,交差、交差点,False
lime,laɪm,ライム、石灰,False
maternal,məˈtɜːnl,母の,False
merciful,ˈmɜːsɪfəl,慈悲深い,False
mingle,ˈmɪŋɡəl,混ざる,False
mold,məʊld,型、性格,False
momentum,məʊˈmentəm,勢い,False
mutter,ˈmʌtə,つぶやく,False
odor,ˈəʊdə,におい,False
oppression,əˈpreʃən,弾圧,False
outrage,ˈaʊtreɪdʒ,激怒、侮辱,False
parish,ˈpærɪʃ,教区,False
peculiarly,pɪˈkjuːliəli,奇妙に、特に,False
providence,ˈprɒvɪdəns,摂理、神意,False
reap,riːp,収穫する,False
recollect,ˌrekəˈlekt,思い出す、回想する,False
reign,reɪn,統治、治世,False
resent,rɪˈzent,腹を立てる、憤慨する,False
ridge,rɪdʒ,尾根,False
rot,rɒt,腐る、やつれる,False
ruthless,ˈruːθləs,無慈悲な,False
sequence,ˈsiːkwəns,順序、連続,False
slaughter,ˈslɔːtə,虐殺、屠殺,False
sneer,snɪə,あざ笑う,False
squad,skwɒd,分隊、チーム,False
squeak,skwiːk,キーキー音を立てる,False
stature,ˈstætʃə,身長,False
sublime,səˈblaɪm,荘厳な,False
successor,səkˈsesə,後継者,False
surf,sɜːf,打ち寄せる波,False
tack,tæk,びょう、留め金、方針,False
tentative,ˈtentətɪv,試験的な、仮の,False
toil,tɔɪl,骨折って働く,False
torrent,ˈtɒrənt,急流、殺到,False
twig,twɪɡ,小枝,False
twitch,twɪtʃ,ぴくぴく動かす、ぐいと引く,False
utterance,ˈʌtərəns,発言、発話,False
vent,vent,穴、はけ口,False
virtuous,ˈvɜːtʃuəs,高潔な、徳の高い,False
agonizing,ˈæɡənaɪzɪŋ,苦痛な,False
forthcoming,ˌfɔːθˈkʌmɪŋ,来る、今度の,False
acutely,əˈkjuːtli,鋭く,False
administrative,ədˈmɪnəstrətɪv,管理上の、経営上の,False
adoption,əˈdɒpʃən,採用、養子縁組,False
adversity,ədˈvɜːsəti,逆境、困難,False
almighty,ɔːlˈmaɪti,全能の,False
arouse,əˈraʊz,目を覚まさせる、刺激する,False
assault,əˈsɔːlt,急襲、攻撃、暴行,False
assorted,əˈsɔːtɪd,盛り合わせの、雑多の,False
attachment,əˈtætʃmənt,付属物、添付書類、愛着,False
axis,ˈæksɪs,軸,False
bandage,ˈbændɪdʒ,包帯,False
beware,bɪˈweə,用心する,False
cane,keɪn,ステッキ、竹などの節のある茎,False
chestnut,ˈtʃesnʌt,クリ,False
chord,kɔːd,和音、コード,False
conceivable,kənˈsiːvəbəl,考えられる,False
confide,kənˈfaɪd,打ち明ける、信用する,False
conscientious,ˌkɒnʃiˈenʃəs,良心的な、誠実な,False
contemptuous,kənˈtemptʃuəs,軽蔑するような,False
corrupt,kəˈrʌpt,不正の、堕落した,False
deception,dɪˈsepʃən,だますこと,False
devour,dɪˈvaʊə,むさぼり食う,False
discern,dɪˈsɜːn,見分ける、識別する,False
doze,dəʊz,うたた寝する,False
endurance,ɪnˈdjʊərəns,忍耐、持続,False
enforce,ɪnˈfɔːs,実施する、強要する,False
enhance,ɪnˈhɑːns,高める、強化する,False
flattery,ˈflætəri,お世辞,False
forefinger,ˈfɔːˌfɪŋɡə,人さし指,False
frivolous,ˈfrɪvələs,軽薄な、つまらない,False
furnace,ˈfɜːnɪs,かまど、炉,False
generic,dʒəˈnerɪk,ノーブランドの,False
glide,ɡlaɪd,滑らかに動く,False
gust,ɡʌst,突風,False
hiss,hɪs,シューッという音を立てる,False
hover,ˈhɒvə,空中を舞う、さまよう,False
illiterate,ɪˈlɪtərət,読み書きのできない,False
innate,ˌɪˈneɪt,生まれつきの,False
insistence,ɪnˈsɪstəns,主張,False
interference,ˌɪntəˈfɪərəns,干渉、妨害,False
intervene,ˌɪntəˈviːn,介在する、仲裁する,False
latch,lætʃ,ドアの掛け金,False
manipulate,məˈnɪpjəleɪt,操作する,False
meddle,ˈmedl,干渉する,False
mob,mɒb,暴徒,False
moody,ˈmuːdi,不機嫌な,False
mortality,mɔːˈtæləti,死すべき運命、死亡数,False
ordeal,ɔːˈdiːl,厳しい試練,False
pail,peɪl,バケツ,False
paw,pɔː,動物の足、手,False
petition,pəˈtɪʃən,請願書、申請書,False
pinnacle,ˈpɪnəkəl,頂点、頂上,False
placid,ˈplæsɪd,穏やかな,False
plague,pleɪɡ,伝染病、ペスト,False
plea,pliː,口実、嘆願,False
pluck,plʌk,勢いよく引っ張る,False
precarious,prɪˈkeəriəs,不安定な、危険な,False
provoke,prəˈvəʊk,引き起こす、怒らせる,False
rally,ˈræli,集会、ラリー,False
rarity,ˈreərəti,珍しいこと,False
reddish,ˈredɪʃ,赤みを帯びた,False
rein,reɪn,手綱、統制,False
reinforce,ˌriːənˈfɔːs,補強する,False
royalty,ˈrɔɪəlti,王族、印税,False
scanty,ˈskænti,不十分な、乏しい,False
snug,snʌɡ,気持ちのよい、くつろげる,False
spectrum,ˈspektrəm,範囲、分布,False
speculate,ˈspekjəleɪt,推測する、投機する,False
spouse,spaʊs,配偶者,False
strangle,ˈstræŋɡəl,窒息死させる,False
strife,straɪf,衝突、紛争,False
sturdy,ˈstɜːdi,丈夫な、たくましい,False
superstition,ˌsuːpəˈstɪʃən,迷信,False
suspense,səˈspens,不安、未定の状態、サスペンス,False
turf,tɜːf,芝生、競馬,False
verify,ˈverɪfaɪ,検証する,False
waistcoat,ˈweɪskəʊt,チョッキ、ベスト,False
warfare,ˈwɔːfeə,戦争、武力衝突,False
whirl,wɜːl,ぐるぐる回る,False
exceeding,ɪkˈsiːdɪŋ,異例の、並外れた,False
incoming,ˈɪnkʌmɪŋ,入ってくる、後任の,False
tempting,ˈtemptɪŋ,魅力的な,False
accelerate,əkˈseləreɪt,加速する、促進する,False
accordance,əˈkɔːdəns,一致、調和,False
alteration,ˌɔːltəˈreɪʃən,変更,False
analogy,əˈnælədʒi,類似性、類推,False
appreciative,əˈpriːʃətɪv,鑑識眼のある、感謝している,False
ashore,əˈʃɔː,浜に、岸に,False
astronomy,əˈstrɒnəmi,天文学,False
authentic,ɔːˈθentɪk,本物の,False
authoritative,ɔːˈθɒrətətɪv,当局の、権威ある,False
avert,əˈvɜːt,回避する,False
batch,bætʃ,ひとかたまり、一回分,False
bonfire,ˈbɒnfaɪə,大かがり火、焚き火,False
boulevard,ˈbuːlvɑːd,大通り,False
brood,bruːd,卵を抱く、じっと考える,False
brook,brʊk,小川,False
canary,kəˈneəri,カナリア、密告者,False
cherish,ˈtʃerɪʃ,大切にする、かわいがる,False
choir,kwaɪə,聖歌隊,False
clown,klaʊn,道化師,False
coherent,kəʊˈhɪərənt,首尾一貫した,False
coil,kɔɪl,ぐるぐる巻く,False
communism,ˈkɒmjənɪzəm,共産主義,False
constraint,kənˈstreɪnt,制約、強制、圧迫,False
contagious,kənˈteɪdʒəs,伝染性の,False
contentment,kənˈtentmənt,満足,False
controversial,ˌkɒntrəˈvɜːʃəl,物議をかもす,False
cowardly,ˈkaʊədli,臆病な、卑劣な,False
cramp,kræmp,けいれん,False
custody,ˈkʌstədi,親権、保管,False
defy,dɪˈfaɪ,逆らう、反抗する,False
degradation,ˌdeɡrəˈdeɪʃən,左遷、低下,False
delicacy,ˈdelɪkəsi,ごちそう、優美、繊細さ,False
diameter,daɪˈæmɪtə,直径,False
diligence,ˈdɪlədʒəns,勤勉,False
diminish,dəˈmɪnɪʃ,減らす、減少する,False
discrimination,dɪˌskrɪməˈneɪʃən,差別、識別力,False
elastic,ɪˈlæstɪk,伸縮性のある,False
endeavor,ɪnˈdevə,努力する,False
equilibrium,ˌiːkwəˈlɪbriəm,均衡,False
exile,ˈeksaɪl,亡命、流浪者,False
exploit,ɪkˈsplɔɪt,利用する、開発する,False
groom,ɡruːm,身なりを整える　／（名）新郎,False
growl,ɡraʊl,うなる,False
haul,hɔːl,引っ張る、運ぶ,False
heath,hiːθ,荒野,False
hind,haɪnd,後部の,False
infancy,ˈɪnfənsi,幼少時,False
interact,ˌɪntərˈækt,相互に作用する、交流する,False
latitude,ˈlætɪtjuːd,緯度,False
lookout,ˈlʊk-aʊt,見張り,False
lure,lʊə,惹きつけるもの、魅力,False
maneuver,məˈnuːvə,操作、大演習、策略,False
mar,mɑː,台無しにする,False
meager,ˈmiːɡə,貧弱な、わずかばかりの,False
meditate,ˈmedɪteɪt,瞑想する,False
mellow,ˈmeləʊ,熟した、芳醇な,False
menace,ˈmenɪs,脅迫、脅威,False
moderation,ˌmɒdəˈreɪʃən,節度、穏健,False
oval,ˈəʊvəl,楕円形の,False
partake,pɑːˈteɪk,参加する、食べる、飲む,False
perverse,pəˈvɜːs,ひねくれた、あまのじゃくな,False
potent,ˈpəʊtənt,有力な、効き目のある,False
prestige,preˈstiːʒ,名声,False
prop,prɒp,支える　／（名）小道具,False
prophet,ˈprɒfɪt,預言者、予言者,False
realm,relm,領域、王国,False
recite,rɪˈsaɪt,暗唱する,False
repose,rɪˈpəʊz,休息,False
revolt,rɪˈvəʊlt,反乱、暴動、抵抗,False
sanctuary,ˈsæŋktʃuəri,聖域、避難所、禁猟区,False
scarcity,ˈskeəsəti,欠乏,False
senator,ˈsenətə,上院議員、評議員,False
sensibility,ˌsensəˈbɪləti,感受性、感覚の過敏さ,False
serpent,ˈsɜːpənt,ヘビ、悪意ある人,False
snort,snɔːt,鼻を鳴らす,False
splendor,ˈsplendə,輝き、荘厳さ,False
stalk,stɔːk,あとをつける、つきまとう,False
surplus,ˈsɜːpləs,余り,False
temperament,ˈtempərəmənt,気質,False
tempest,ˈtempɪst,大嵐、大騒動,False
testify,ˈtestɪfaɪ,証言する、証明する,False
thigh,θaɪ,大腿、もも,False
throng,θrɒŋ,群衆,False
tidal,ˈtaɪdl,潮の,False
tiresome,ˈtaɪəsəm,退屈な、うんざりする,False
trait,treɪ,特徴、特性,False
treacherous,ˈtretʃərəs,裏切りの、油断ならない,False
tug,tʌɡ,強く引く,False
tumult,ˈtjuːmʌlt,大騒ぎ,False
tyranny,ˈtɪrəni,専制政治、残虐な行為,False
unfit,ʌnˈfɪt,不適当な、健康でない,False
withstand,wɪðˈstænd,抵抗する、耐える,False
accusation,ˌækjəˈzeɪʃən,告発、告訴,False
artful,ˈɑːtfəl,巧妙な、狡猾な,False
avail,əˈveɪl,利用する,False
brew,bruː,醸造する,False
buck,bʌk,ドル、雄ジカ、元気な若者,False
chap,tʃæp,ひび、あかぎれ、男、やつ,False
concession,kənˈseʃən,譲歩,False
confer,kənˈfɜː,授与する、協議する,False
contrive,kənˈtraɪv,企てる、考案する,False
corps,kɔː,部隊、団体,False
cram,kræm,詰め込む、一夜漬けする,False
creed,kriːd,教義、信条,False
crook,krʊk,曲がったもの、泥棒,False
crumble,ˈkrʌmbəl,砕く、粉々にする,False
crunch,krʌntʃ,バリバリかみ砕く,False
defective,dɪˈfektɪv,欠陥のある、不完全な,False
diagnosis,ˌdaɪəɡˈnəʊsɪs,診断、診断結果,False
disciple,dɪˈsaɪpəl,門弟、弟子,False
discouragement,dɪsˈkʌrɪdʒmənt,落胆、やる気を無くさせるもの,False
dismissal,dɪsˈmɪsəl,免職、解雇,False
distaste,dɪsˈteɪst,嫌悪,False
dough,dəʊ,パン生地、お金,False
drawback,ˈdrɔːbæk,欠点、難点,False
emphatic,ɪmˈfætɪk,強調された、際立った,False
equity,ˈekwəti,公平さ、株式,False
eruption,ɪˈrʌpʃən,噴火、爆発,False
exert,ɪɡˈzɜːt,働かせる、行使する,False
fanciful,ˈfænsɪfəl,空想的な,False
feat,fiːt,偉業,False
foe,fəʊ,敵,False
friction,ˈfrɪkʃən,摩擦、衝突,False
genetic,dʒəˈnetɪk,遺伝の,False
glitter,ˈɡlɪtə,ぴかぴか光る,False
greed,ɡriːd,貪欲,False
hinder,ˈhɪndə,妨げる,False
hypothesis,haɪˈpɒθəsɪs,仮説,False
implore,ɪmˈplɔː,懇願する,False
impotent,ˈɪmpətənt,無力な、力不足の,False
incorporate,ɪnˈkɔːpəreɪt,組み込む、法人組織にする,False
infer,ɪnˈfɜː,推測する,False
lament,ləˈment,嘆き悲しむ,False
lighthearted,ˌlaɪt ˈhɑːtɪd,快活な、気楽な,False
majestic,məˈdʒestɪk,威厳のある,False
marginal,ˈmɑːdʒɪnəl,周辺の、わずかな,False
marshal,ˈmɑːʃəl,元帥、進行係,False
midway,ˌmɪdˈweɪ,中途に、中ほどに,False
mum,mʌm,無言の,False
mumble,ˈmʌmbəl,つぶやく,False
nip,nɪp,かみつく、つかむ,False
nuisance,ˈnjuːsəns,迷惑なもの、厄介者,False
obscene,əbˈsiːn,わいせつな、不愉快な,False
par,pɑː,同等、額面価格,False
pebble,ˈpebəl,小石,False
pedestal,ˈpedəstəl,台、根拠,False
plank,plæŋk,厚板、政策,False
populous,ˈpɒpjələs,人口の多い,False
porridge,ˈpɒrɪdʒ,粥、刑期,False
precedent,ˈpresɪdənt,前例、判例,False
radius,ˈreɪdiəs,半径,False
relevance,ˈreləvəns,関連、妥当性,False
repress,rɪˈpres,抑え込む、こらえる,False
righteous,ˈraɪtʃəs,公正な、正義の,False
rigorous,ˈrɪɡərəs,厳格な,False
roam,rəʊm,うろつく、放浪する,False
rogue,rəʊɡ,悪党、いたずらっ子,False
rouse,raʊz,目覚めさせる、奮起させる,False
rust,rʌst,さび,False
sect,sekt,派閥、学派,False
shatter,ˈʃætə,粉々にする,False
specify,ˈspesɪfaɪ,明記する,False
stagger,ˈstæɡə,よろめく,False
static,ˈstætɪk,静止した,False
steadfast,ˈstedfɑːst,固定した、しっかりとした,False
steward,ˈstjuːəd,世話役、旅客機の客室乗務員,False
substantially,səbˈstænʃəli,大いに、実質的には,False
surpass,səˈpɑːs,超える、勝る,False
swamp,swɒmp,沼地,False
tact,tækt,如才なさ、機転、分別,False
tart,tɑːt,酸っぱい、辛辣な,False
theft,θeft,盗み,False
toll,təʊl,通行料、損害,False
traitor,ˈtreɪtə,裏切り者,False
tumble,ˈtʌmbəl,倒れる、急落する,False
underwater,ˌʌndəˈwɔːtə,水面下の,False
accumulate,əˈkjuːmjəleɪt,蓄積する,False
commence,kəˈmens,開始する,False
conceit,kənˈsiːt,うぬぼれ,False
contend,kənˈtend,競う、戦う、主張する,False
disrupt,dɪsˈrʌpt,崩壊させる、混乱させる,False
humane,hjuːˈmeɪn,人間味のある,False
intuition,ˌɪntjuˈɪʃən,直感,False
refinement,rɪˈfaɪnmənt,洗練、改良,False
rite,raɪt,儀式,False
soak,səʊk,浸す、ずぶぬれにする,False
subdue,səbˈdjuː,征服する、鎮圧する,False
tavern,ˈtævən,居酒屋、宿屋,False
temperate,ˈtempərət,控えめな、温和な,False
affirm,əˈfɜːm,断言する、支持する,False
alternate,ɔːlˈtɜːnət,交互の、代わりの,False
ambiguity,ˌæmbɪˈɡjuːəti,曖昧さ,False
aristocracy,ˌærəˈstɒkrəsi,貴族政治、貴族,False
collision,kəˈlɪʒən,衝突、対立,False
deduction,dɪˈdʌkʃən,差し引くこと、控除,False
diplomacy,dəˈpləʊməsi,外交,False
distort,dɪˈstɔːt,ゆがめる、曲げる,False
dominance,ˈdɒmənəns,支配、優勢,False
ethic,ˈeθɪk,倫理,False
integration,ˌɪntɪˈɡreɪʃən,統合、人種差別撤廃,False
kin,kɪn,親族、血縁,False
missionary,ˈmɪʃənəri,宣教師,False
nutrition,njuːˈtrɪʃən,栄養摂取,False
prick,prɪk,ちくりと刺す,False
propel,prəˈpel,推進する,False
simultaneous,ˌsɪməlˈteɪniəs,同時に起こる,False
subscribe,səbˈskraɪb,署名する、定期購読する,False
allocate,ˈæləkeɪt,割り当てる,False
amend,əˈmend,修正する,False
assassination,əˌsæsəˈneɪʃən,暗殺,False
clergy,ˈklɜːdʒi,聖職者,False
dedicate,ˈdedɪkeɪt,捧げる、専念する,False
designation,ˌdezɪɡˈneɪʃən,指定、指名、任命,False
disobedient,ˌdɪsəˈbiːdiənt,不従順な,False
exempt,ɪɡˈzempt,免除された,False
gratify,ˈɡrætɪfaɪ,喜ばせる,False
hypocrite,ˈhɪpəkrɪt,偽善者,False
initiate,ɪˈnɪʃieɪt,始める、教える,False
intrude,ɪnˈtruːd,押し入る、侵入する,False
literate,ˈlɪtərət,読み書きができる、教養のある,False
pastor,ˈpɑːstə,牧師,False
pretense,prɪˈtens,見せかけ、偽りの行為,False
smuggle,ˈsmʌɡəl,密輸入する,False
addict,ˈædɪkt,中毒者,False
adolescent,ˌædəˈlesənt,青年期の、思春期の,False
adorn,əˈdɔːn,飾る,False
correspond,ˌkɒrəˈspɒnd,一致する、対応する,False
detach,dɪˈtætʃ,引き離す、切り離す,False
dogma,ˈdɒɡmə,教義、定説、独断,False
judicial,dʒuːˈdɪʃəl,司法の、裁判の,False
lyric,ˈlɪrɪk,叙情的な,False
persist,pəˈsɪst,持続する、やり通す,False
pessimism,ˈpesəmɪzəm,悲観主義,False
proficient,prəˈfɪʃənt,熟練した,False
reside,rɪˈzaɪd,住む,False
sociology,ˌsəʊsiˈɒlədʒi,社会学,False
solicit,səˈlɪsɪt,懇願する、そそのかす,False
alleged,əˈledʒd,申し立てられた,False
endow,ɪnˈdaʊ,寄付する、授ける,False
expenditure,ɪkˈspendɪtʃə,支出、費用,False
inclusive,ɪnˈkluːsɪv,すべてを含んだ、包括的な,False
infect,ɪnˈfekt,感染させる,False
lonesome,ˈləʊnsəm,寂しい,False
negligent,ˈneɡlɪdʒənt,怠慢な、不注意な,False
pollute,pəˈluːt,汚染する,False
prosecute,ˈprɒsɪkjuːt,起訴する,False
rectangle,ˈrektæŋɡəl,長方形,False
sovereign,ˈsɒvrɪn,主権者、君主,False
alienate,ˈeɪliəneɪt,遠ざける,False
audit,ˈɔːdɪt,監査,False
clerical,ˈklerɪkəl,事務員の、聖職者の,False
nourish,ˈnʌrɪʃ,養う,False
obsess,əbˈses,悩ませる,False
persevere,ˌpɜːsəˈvɪə,保存する、維持する,False
pharmacy,ˈfɑːməsi,薬局,False
recur,rɪˈkɜː,繰り返される、思い出される,False
adhere,ədˈhɪə,付着する、固執する,False
endorse,ɪnˈdɔːs,承認する、支持する、裏書きする,False
enlighten,ɪnˈlaɪtn,啓発する、教える,False
subsidy,ˈsʌbsədi,補助金,False
abort,əˈbɔːt,中止する、妊娠中絶する,False
contaminate,kənˈtæməneɪt,汚染する,False
evacuate,ɪˈvækjueɪt,避難させる,False
immigrate,ˈɪmɪɡreɪt,移住する,False
linguistic,lɪŋˈɡwɪstɪk,言語の,False
migrate,maɪˈɡreɪt,移住する、渡る,False
obstruct,əbˈstrʌkt,妨害する、さえぎる,False
renown,rɪˈnaʊn,名声,False
yearn,jɜːn,あこがれる,False
horrify,ˈhɒrɪfaɪ,怖がらせる,False
impeach,ɪmˈpiːtʃ,告発する、弾劾する,False
persecute,ˈpɜːsɪkjuːt,迫害する,False
fertilize,ˈfɜːtəlaɪz,肥やす、豊かにする,False
irrigate,ˈɪrɪɡeɪt,水を引く,False
